メニュー名,分量,カロリー,塩分,調理時間,画像URL,材料,作り方,URL
焼き鯛茶漬け,4人分,約362kcal,1.9g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1410.jpg,"ご飯: お茶碗4杯分(600g)
鯛(切り身): 4切れ(約200g)
塩: 少々
練りわさび: 適量
香煎(またはあられ): 適量
花穂じそ: 適量
だし汁: 4カップ
酒: 大さじ1/2
薄口しょうゆ: 大さじ1
塩: 少々","1 水タンクに水を入れる。(水位1以上)
2 鯛に塩をふる。
3 角皿に調理網2枚をのせる。調理網の中央寄りに2を並べる。角皿を上段に入れる。
まかせて調理 網焼き・揚げる → スタート → 弱め(※30秒以内に押す)
4 茶漬け茶碗にご飯を盛り、3をのせ、わさび、花穂じそ、香煎(またはあられ)をのせ、熱い吸い地をかける。
レシピ提供：ボブとアンジー　監修：料理家　水野　恵",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1410
焼きとうもろこし,,約167kcal(1本分),1.3g,23分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0461.jpg,"とうもろこし: 2本(約600g)
しょうゆ: 大さじ1
みりん: 大さじ1","1 水タンクに水を入れる。(水位ライン1以上)
2 とうもろこしの皮をむいてビニール袋に入れ、[A]を加えて約30分漬けこむ。
3 角皿にアルミホイルを敷き、2をのせて、下段に入れる。
手動調理 → ウォーターグリル → 予熱なし・約23分 → スタート
※記載の時間は、目安です。様子を見ながら加熱してください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0461
焼きとり,(8本・4人分,約293kcal,2.7g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0009.jpg,"鶏もも肉: 2枚(400g)
白ねぎ: 2本
しょうゆ: 大さじ4
みりん: 大さじ3
酒: 大さじ1と1/2
砂糖: 大さじ2
サラダ油: 大さじ1","1 水タンクに水を入れる。(水位1以上)
2 鶏肉は1枚をそれぞれ12等分に切り、白ねぎは3cm長さに切り、8本の竹串に刺す。
3 ビニール袋にたれと2を入れ、袋の口を結んで上下を返しながら約1時間漬けこむ。
4 角皿に調理網2枚をのせ、3を中央寄りに並べる。
5 4を上段に入れる。
まかせて調理 網焼き・揚げる → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0009
焼きなす,4人分,約23kcal,0.7g,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0056.jpg,"なす: 4本(1本100g)
おろししょうが: 適量
しょうゆ: 適量","1 水タンクに水を入れる。(水位1以上)
2 なすは洗って水気をふき、竹串で数ヶ所穴を開ける。
3 角皿に2を並べ、下段に入れる。
お料理選択 → メニュー検索 → カテゴリーから探す → あぶり焼き・焼き物・ノンフライ → 焼きなす→ スタート
手動でするときは：ウォーターグリル・予熱なしで約30分
4 加熱後、水に取って皮をむき、おろししょうがとしょうゆを添える。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0056
焼きなすとチキンのサラダケーキ仕立て,4人分,約187kcal,0.3g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1218.jpg,"なす: 400g
鶏ささ身: 4本
塩: 適量
こしょう: 適量
オレガノ: 適量
白ワイン: 大さじ1
オリーブオイル: 小さじ2
塩: 小さじ1/3
こしょう: 適量
松の実: 15g
ミニトマト: 8個
サニーレタス: 120g
バルサミコ酢: 大さじ1
はちみつ: 8g
EVオリーブオイル: 50mL
塩: 適量
こしょう: 適量","1 水タンクに水を入れる。(水位1以上)
2 なすは洗い、へたのつけ根の下のほうに、ぐるりと一周包丁で浅く切り目を入れガクを取る。なすに0.5～1cm幅程度の間隔で包丁で縦に切れ目を入れる。
3 鶏ささ身は塩、こしょう、オレガノ、白ワインをふり、アルミホイルに包む。
4 角皿に調理網2枚をのせ、中心に3、両端になすをのせ、上段に入れる。

※写真の付属品は、実際のものとは異なります。
まかせて調理 網焼き・揚げる → スタート
5 焼きあがったら熱いうちにナスの皮をむき、ナスは1cm角に切り、鶏ささみは手で細かくさいて[A]でマリネする。
6 松の実はフライパンでローストする
7 ミニトマトは縦4等分に切る。
8 サニーレタスは食べやすい大きさにちぎる。
9 [B]を合わせてドレッシングを作る。
10 器に直径8cmのセルクルをおき、5を詰めて6の松の実、7のミニトマトをのせ、セルクルを抜く。周りに8のサニーレタスを盛り付け、9のドレッシングを添える。
レシピ提供：ボブとアンジー　監修：管理栄養士　野川　彩",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1218
焼きなます,2人分,約58kcal,0.5g,13分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1026.jpg,"にんじん(せん切り): 50g
大根(せん切り): 150g
砂糖、酢: 各大さじ2
塩: 少々","1 水タンクに水を入れる。(水位1以上)
2 アルミホイルを広げ、にんじん、大根の順にのせて包む。
3 角皿に調理網をのせ、2をのせて、下段に入れる。
手動調理 → ウォーターグリル → 予熱なし → 13～15分 → スタート
4 加熱後、[A]であえる。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1026
焼き肉サラダ,4人分,約186kcal,1.0g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1113.jpg,"牛もも薄切り肉(3～4cm幅に切る): 240g
焼き肉のたれ: 大さじ4
酒: 小さじ4
赤パプリカ(薄切り): 120g
しめじ(小房に分ける): 140g
サニーレタス(食べやすい大きさにちぎる): 10枚(200g)
酢: 大さじ2
ブラックペッパー: 少々(0.4g)
オリーブオイル: 小さじ2","1 水タンクに水を入れる。(水位1以上)
2 アルミホイルで型を作って角皿にのせ、混ぜ合わせた[A]を広げる。
3 2を上段に入れる。
まかせて調理 炒める → スタート
4 加熱後、器にサニーレタスを盛り、3を盛りつける。混ぜ合わせた[B]をかける。
おすすめポイント
●牛肉は酢やこしょうを上手く効かせることで薄味でも美味しくさっぱりと食べることができます。
●焼き肉サラダには、ズッキーニや玉ねぎなど、お好みの野菜を加えてもよいでしょう。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1113
焼き肉サラダ＆大学いも風あえ物,2人分,約350kcal,1.0g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0913.jpg,"牛もも薄切り肉(3～4cm幅に切る): 120g
焼き肉のたれ: 大さじ2
酒: 小さじ2
赤パプリカ(薄切り): 60g
しめじ(小房に分ける): 70g
さつまいも: 120g
サニーレタス(食べやすい大きさにちぎる): 5枚(100g)
酢: 大さじ1
ブラックペッパー: 少々(0.2g)
オリーブオイル: 小さじ1
黒ごま: 大さじ1
はちみつ: 大さじ1","1 水タンクに水を入れる。(水位1以上)
2 アルミホイルで型を作って角皿にのせ、混ぜ合わせた[A]を広げる。
3 さつまいもは細切りにし、水にさらした後、水気を軽くきる。2の角皿にアルミホイルを敷いてさつまいもを広げる。
4 3を下段に入れる。
手動調理 → ウォーターグリル → 予熱なし・約15分 → スタート
5 加熱後、器にサニーレタスを盛り、2を盛りつける。混ぜ合わせた[B]をかける。
6 さつまいもは、熱いうちに[C]を加えてあえる。
★栄養成分★
エネルギー・・・350kcal
たんぱく質・・・17.5g
脂質・・・13.9g
炭水化物・・・39.8g
ナトリウム・・・431mg
カリウム・・・963mg
カルシウム・・・171mg
リン・・・244mg
食物繊維・・・5.3g
食塩相当量・・・1.0g
おすすめポイント

●牛肉は酢やこしょうを上手く効かせることで薄味でも美味しくさっぱりと食べることができます。
●焼き肉サラダには、ズッキーニや玉ねぎなど、お好みの野菜を加えてもよいでしょう。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0913
焼肉チャーハン,4人分,約655kcal,2.2g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1069.jpg,"冷やごはん: 600～800g
焼肉のたれ[a]: 大さじ4
白ごま: 大さじ2
サラダ油: 小さじ1
青ねぎ(小口切り): 50g
焼肉用牛バラ肉: 300g
焼肉のたれ[b]: 大さじ2","1 水タンクに水を入れる。(水位1以上)
2 冷やごはんを耐熱容器に入れて、人肌程度にあたためる。耐熱容器に入れ、ラップをせずに庫内中央に置く。(角皿は入れません)
レンジ → 600W・1～2分 → スタート
3 加熱後、[A]を加えて混ぜる。
4 角皿にクッキングシートを敷き、3を広げる。その上に、青ねぎ、焼肉のため[b]につけた肉を順番に広げる。
5 4を上段に入れる。
まかせて調理 炒める → スタート
＜まかせて調理について＞
お好きな材料に変更しても、レシピと異なる分量でも、冷凍のままでも加熱できます。
※食材の種類や形状などによって仕上がりが変わります。食材の総重量は1kgまでを目安にしてください。
詳しくは、《コチラ！》",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1069
焼肉チャーハン＆たっぷり温野菜,,約3028kcal(全量),18.4g,23分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2340.jpg,"冷やごはん: 600～800g
焼肉のたれ[a]: 大さじ4
白ごま: 大さじ2
サラダ油: 小さじ1
青ねぎ(小口切り): 50g
焼肉用牛バラ肉: 300g
焼肉のたれ[b]: 大さじ2
大根: 200g
さつま揚げ: 100g
白菜キムチ: 100g
めんつゆ(3倍濃縮): 大さじ1
にんじん(せん切り): 200g
もやし: 200g
鶏がらスープの素: 各適量","1 水タンクに水を入れる。(水位1以上)
■焼肉チャーハン
2 冷やごはんを人肌程度にあたためる。耐熱容器に入れ、ラップをせずに庫内中央に置く。(角皿は入れません)
レンジ → 600W ・1～2分 → スタート
3 加熱後、[A]を加えて混ぜる。
4 角皿にクッキングシートを敷き、3を広げる。その上に、青ねぎ、焼肉のたれ[b]につけた肉を順番に広げ、上段に入れる。

■温野菜(大根のキムチあえ・ナムル2種)
5 大根は1cm角の棒状に、さつま揚げは1cm幅に切る。
6 ビニール袋に5とめんつゆを入れて味をなじませ、さらにキムチを加えて、混ぜる。
7 にんじんともやしは100gずつアルミホイルに包む。
8 もう1枚の角皿の左側にクッキングシートを敷いて、フチを立て、6を重ならないように広げる。7を右側に並べ、下段に入れる。

まかせて調理 炒める → 下段で同時調理 → +たっぷり温野菜 → スタート
9 加熱後、チャーハンはよく混ぜる。もやし、にんじんは水気をきって[B]であえる。
温野菜アレンジ例
大根のキムチあえ・ナムル2種を下記のメニューに代えて作ることもできます！
《細切り野菜のあえ物》
《さつまいものレモン煮》
《もやしベーコン》
《大根とにんじんのきんぴら風》
《キャベツのコンソメ風味》
《きのこバター》
《カラフル温野菜》
《ポテトサラダ》
《彩り野菜のイタリアン蒸し》
《野菜の焼きびたし》
《豆苗のサッと煮》",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2340
焼き豚,6人分,約292kcal,2.9g,65分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0022.jpg,"豚肩ロース肉(かたまり): 600g
しょうゆ: 1/2カップ
砂糖、酒: 各大さじ3
ねぎ(みじん切り): 少々
おろししょうが、おろしにんにく: 各少々","1 水タンクに水を入れる。(水位1以上)
2 豚肉にたこ糸を巻きつけてしばり、厚みが6cm以下になるよう形をととのえる。
3 ビニール袋にたれと2を入れて空気を抜き、袋の口を閉めて冷蔵室で2～3時間漬けこむ。
4 角皿の中央に調理網1枚をのせ、余分なたれをふき取った肉をのせる。(たれは残しておく)
5 4を下段に入れる。
お料理選択 → メニュー検索 → カテゴリーから探す → あぶり焼き・焼き物・ノンフライ → 焼き豚 → スタート
手動でするときは：ウォーターオーブン・予熱なし1段の170℃で約55分。加熱後、庫内で約10分蒸らす。
6 加熱後、肉の中心部に竹串を刺して、透きとおった肉汁が出れば焼き上がり。粗熱が取れれば、たこ糸を取り、薄切りにする。
7 残しておいたたれをひと煮たちさせ、肉にかける。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0022
