メニュー名,メニュー番号,分量,カロリー,調理時間,画像URL,材料,作り方,URL
きゅうりと豚肉の炒め物,0243,材料：4人分,約140kcal,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4243.jpg,"豚もも薄切り肉: 200g
きゅうり: 3本(300g)
塩: 小さじ1/2
土しょうが(みじん切り): 適量
しょうゆ: 大さじ2と1/2
酒: 大さじ2
ごま油: 大さじ1/2
豆板醤: 小さじ1","1 まぜ技ユニットを本体にセットする。
2 豚肉は1cm幅に切り、［A］とともにビニール袋に入れ、よくもみ込んで下味をつける。きゅうりはすりこ木でたたいて全体に割れ目をつけ、塩をふって板ずりし、5cm長さに切ってから縦に4等分する。
3 内鍋にきゅうりを入れ、豚肉をほぐし入れる。本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0243(きゅうりと豚肉の炒め物) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4243
切り干し大根煮(エバラ食品),0475,材料：4人分,,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4475.jpg,"切り干し大根: 60g
にんじん(せん切り): 1/2本(100g)
油揚げ(熱湯で油抜きして、細切り): 2枚(60g)
エバラすき焼のたれ: 大さじ6
水: 300mL","1 切り干し大根は約20分水につけてもどす。もどったらすすいで水気を絞る。
2 内鍋に、油揚げ、にんじん、切り干し大根、[A]の順に入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0475(切り干し大根煮(エバラ食品)) → 調理を開始する → スタート
3 加熱後、混ぜ合わせて味をなじませる。

★このレシピは、エバラ食品株式会社ご提供レシピです。
エバラ食品からのおすすめポイント
エバラ「すき焼のたれ」は、これ1本で味が決まる和風万能調味料。
本醸造醤油、砂糖、本みりん、鰹節エキスなど、煮物をつくるときに
必要な調味料がすべて入っているので、いろいろな調味料を計量する必要はありません。
ホットクックと「すき焼のたれ」で、和風のレパートリーがぐっと広がります！
エバラ「すき焼のたれ」について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4475
切り干し大根の煮物,0031,材料：4人分,約150kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4031.jpg,"切り干し大根: 70g
油揚げ (熱湯で油抜きする): 2枚
だし汁: 300mL
砂糖、薄口しょうゆ: 各大さじ3
酒: 大さじ2","1 切り干し大根は、約20分水につけてもどす。もどったらすすいで水気を絞る。油揚げは、縦半分に切ってから細切りにする。
2 内鍋に油揚げ、切り干し大根、[A]の順で入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0031(切り干し大根の煮物) → 調理を開始する → スタート
3 加熱後、混ぜる。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4031
きんぴら,0015,材料：4人分,約115kcal,35分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4015.jpg,"ごぼう: 1本(200g)
にんじん(細切り): 1/2本(100g)
酒: 大さじ2
みりん: 大さじ2
しょうゆ: 大さじ2
砂糖: 大さじ1
ごま油: 大さじ1","1 まぜ技ユニットを本体にセットする。
2 ごぼうは皮をむき、マッチ棒サイズの細切りにして水にさらしてアクを抜く。
3 内鍋に2、にんじん、[A]を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0015(きんぴら) → 調理を開始する → スタート
4 加熱後、混ぜ合わせて味をなじませる。
※もう少し煮詰めたいときは、[手動で作る] → [煮詰める]を使って煮詰めることができます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4015
金目鯛の煮つけ(エバラ食品),0477,材料：4人分,,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4477.jpg,"金目鯛: 4切れ(1切れ100g)
針生姜: 適量
エバラすき焼のたれ: 大さじ6
水: 大さじ6","1 金目鯛は皮目に浅く切れ目を入れる。
2 内鍋に1を重ならないように並べて、[A]を入れる。
3 2を本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0477(金目鯛の煮つけ(エバラ食品)) → 調理を開始する → スタート
4 器に盛り付け、煮汁をかけ、針生姜を添える。

★このレシピは、エバラ食品株式会社ご提供レシピです。
エバラ食品からのおすすめポイント
エバラ「すき焼のたれ」は、これ1本で味が決まる和風万能調味料。
本醸造醤油、砂糖、本みりん、鰹節エキスなど、煮物をつくるときに
必要な調味料がすべて入っているので、いろいろな調味料を計量する必要はありません。
ホットクックと「すき焼のたれ」で、和風のレパートリーがぐっと広がります！
エバラ「すき焼のたれ」について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4477
キーマカレー,0008,材料：4人分,約337kcal,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4008.jpg,"トマト(1.5～2cm角に切る): 大1個(200g)
玉ねぎ(みじん切り): 1個(200g)
合びき肉(軽くほぐす): 300g
なす(1.5～2cm角に切る): 1本(100g)
パプリカ(1.5～2cm角に切る): 1個
市販のカレールウ: 4皿分","1 まぜ技ユニットを本体にセットする。
2 内鍋に材料表の順に全材料を入れて表面を平らにならし、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0008(キーマカレー) → 調理を開始する → スタート
3 加熱後、全体を混ぜる。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4008
牛すじカレー,0159,材料：4人分,約497kcal,1時間5分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4159.jpg,"玉ねぎ(くし切り): 2個(400g)
トマト(角切り): 大2個(400g)
セロリ(みじん切り): 1本(100g)
マッシュルーム(4等分に切る): 6個(60g)
りんご(皮をむいてすりおろす): 1/2個
にんにく(みじん切り): 1かけ
しょうが(みじん切り): 1かけ
牛すじ肉(ひと口大に切る): 250g
ブラックチョコレート: 2かけ(5g)
バター: 3g
市販のカレールウ: 4～5皿分","1 まぜ技ユニットを本体にセットする。
2 内鍋に材料表の順に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0159(牛すじカレー) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4159
牛すじの煮こみ,0029,材料：4人分,約227kcal,1時間30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4029.jpg,"牛すじ: 500g
しょうが(薄切り)、白ねぎの青い部分: 各適量
水: 800mL
こんにゃく: 1枚
酒: 大さじ4
みりん: 大さじ4
砂糖: 大さじ3
しょうゆ: 大さじ2","1 まぜ技ユニットを本体にセットする。
2 内鍋に、牛すじ、[A]を入れ、本体にセットする。
手動で作る → スープを作る → まぜない＃→ 約10分 → スタート
加熱後、牛すじを洗いアクを取る。食べやすい大きさに切る。
※予約調理をするときは、油抜きの設定時間を約5分にするとよいでしょう。
3 こんにゃくは、ひと口大にちぎり、塩(分量外)をふって軽くもみ、湯通しする。
4 2の内鍋を軽く洗い、牛すじ、3と[B]を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0029(牛すじの煮こみ) → 調理を開始する → スタート
※牛すじを塩麹(40g)に一晩漬けてから調理すると、より柔らかく仕上がります。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4029
牛すじモツ丼,0370,材料：4人分,約306kcal,1時間30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4370.jpg,"牛すじ: 300g
モツ: 200g
しょうが(薄切り): 適量
白ねぎの青い部分(薄切り): 適量
水: 800mL
大根: 400g
にんじん: 1/2本(100g)
酒: 大さじ4
みりん: 大さじ4
しょうゆ: 大さじ4
砂糖: 大さじ1
ごはん、青ねぎ(小口切り): 各適量","1 まぜ技ユニットを本体にセットする。
2 油抜きをする。内鍋に牛すじ、モツ、[A]を入れ、本体にセットする。
手動で作る → スープを作る → まぜない → 約10分 → 調理を開始する → スタート
3 加熱後、やけどに気をつけてザルにあけ、牛すじ、モツをぬるま湯で洗い、食べやすい大きさに切る。
4 大根、にんじんは、それぞれ小さめの乱切りにする。
5 内鍋を軽く洗い、3、4と[B]を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0370(牛すじモツ丼) → 調理を開始する → スタート
6 加熱後、ごはんにのせ、青ねぎを散らす。
※ 好みで七味とうがらしをかけてもよいでしょう。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4370
牛タンシチュー,0371,材料：4人分,約466kcal,1時間25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4371.jpg,"牛タン(5mm厚さの薄切り): 400g
塩、こしょう: 各少々
薄力粉: 大さじ3
サラダ油: 大さじ1
赤ワイン: 大さじ3
にんじん(4～5cm長さのくし切り): 1本(200g)
玉ねぎ(くし切り): 2個(400g)
マッシュルーム: 8個
デミグラスソース(缶詰): 1缶(290g)
ケチャップ: 大さじ2
コンソメ(顆粒): 小さじ2
にんにく(みじん切り): 1かけ
赤ワイン: 100mL","1 まぜ技ユニットを本体にセットする。
2 牛タンに塩、こしょうをし、薄力粉を全体にまぶす。熱したフライパンにサラダ油を入れて両面を焼き、赤ワインをふりかけて沸とうさせる。牛タンを取り出し、内鍋に入れる。
3 続けて2のフライパンに[A]をいれ、サッと炒め、2の内鍋に入れる。
4 3に[B]を入れて表面をならし、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0371(牛タンシチュー) → 調理を開始する → スタート
5 加熱後、好みでゆでたブロッコリーを添える。
※ ブロッコリーは、ホットクックのブロッコリー(ゆで)でも加熱できます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4371
牛肉と糸こんにゃくの甘辛煮,0529,材料：2人分,約178kcal,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4529.jpg,"糸こんにゃく: 150g
牛こま切れ肉: 100g
砂糖: 大さじ2
しょうゆ: 大さじ2
酒: 小さじ2","1 まぜ技ユニットを本体にセットする。
2 内鍋に糸こんにゃくの半量、牛肉の半量、残りの糸こんにゃく、残りの牛肉、[A]の順に入れて、本体にセットする。
※牛肉は重ならないように広げて入れてください。
メニューを選ぶ → メニュー番号で探す → No.0529(牛肉と糸こんにゃくの甘辛煮) → 調理を開始する → スタート
3 加熱後、全体を混ぜる。
牛どんの具を作ることもできます。
材料を変えて、牛どんの具を加熱することもできます。
・玉ねぎ(薄切り)・・・200g
・牛薄切り肉(ひと口大に切る)・・・140g
・砂糖・・・大さじ2
・しょうゆ・・・大さじ2
・水・・・大さじ6
材料表の順に入れ、加熱する。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4529
